"AXAS","Abraxas Petroleum Corporation","2.25","375105053.25","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/axas",
"AE","Adams Resources & Energy, Inc.","45.9","193587656.4","n/a","n/a","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/ae",
"AAV","Advantage Oil & Gas Ltd","2.95","549285657.6","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/aav",
"ANW","Aegean Marine Petroleum Network Inc.","1.78","72339951.16","n/a","2006","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/anw",
"ARLP","Alliance Resource Partners, L.P.","20.1","2640528839.4","n/a","1999","Energy","Coal Mining","https://www.nasdaq.com/symbol/arlp",
"AMR","Alta Mesa Resources, Inc.","4.74","1820067953.94","n/a","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/amr",
"AMRWW","Alta Mesa Resources, Inc.","0.563","0","n/a","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/amrww",
"AETI","American Electric Technologies, Inc.","0.9823","8758323.3397","n/a","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aeti",
"APC","Anadarko Petroleum Corporation","64.4","32977634057.2","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/apc",
"ANDV","Andeavor","152.79","23090539553.73","n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/andv",
"ANDX","Andeavor Logistics LP","48.58","11925065854.94","n/a","2011","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/andx",
"AR","Antero Resources Corporation","18.51","5869267487.04","n/a","2013","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ar",
"APA","Apache Corporation","43.83","16764359319.99","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/apa",
"AREX","Approach Resources Inc.","2.16","204091593.84","n/a","2007","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/arex",
"ARCH","Arch Coal, Inc.","88.67","1736845615.16","n/a","2016","Energy","Coal Mining","https://www.nasdaq.com/symbol/arch",
"AT","Atlantic Power Corporation","2.2","245667270.2","n/a","n/a","Energy","Electric Utilities: Central","https://www.nasdaq.com/symbol/at",
"BHGE","Baker Hughes, a GE company","32.97","36247041280.8","n/a","2017","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/bhge",
"BLDP","Ballard Power Systems, Inc.","3.54","632754007.8","n/a","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/bldp",
"BRN","Barnwell Industries, Inc.","1.95","16140462","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/brn",
"BAS","Basic Energy Services, Inc.","8.86","234530845","n/a","2005","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/bas",
"BTE","Baytex Energy Corp","2.99","1641043823.12","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/bte",
