"TPNL","3PEA International, Inc.","3.37","147170478.05","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/tpnl",
"ACTG","Acacia Research Corporation","3.9","193030749.6","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/actg",
"ACN","Accenture plc","169.07","108443668858.8","n/a","2001","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/acn",
"AKAM","Akamai Technologies, Inc.","75.14","12736577747.92","n/a","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/akam",
"BABA","Alibaba Group Holding Limited","175.01","450113441823.43","n/a","2014","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/baba",
"ALJJ","ALJ Regional Holdings, Inc.","1.94","73566965.04","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/aljj",
"ADS","Alliance Data Systems Corporation","238.58","13108441940.78","n/a","2001","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ads",
"ARTX","Arotech Corporation","3.35","88728609.2","n/a","1994","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/artx",
"ATHN","athenahealth, Inc.","153.9","6233257030.5","n/a","2007","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/athn",
"ATKR","Atkore International Group Inc.","27.38","1260491444.58","n/a","2016","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/atkr",
"RILY","B. Riley Financial, Inc.","22.9","598309009.9","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rily",
"RILYG","B. Riley Financial, Inc.","25.27","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyg",
"RILYH","B. Riley Financial, Inc.","25.9937","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyh",
"RILYL","B. Riley Financial, Inc.","25.51","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyl",
"RILYZ","B. Riley Financial, Inc.","25.33","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/rilyz",
"BTN","Ballantyne Strong, Inc","4.35","62831069.4","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/btn",
"BKNG","Booking Holdings Inc.","1951.55","92644032340.3","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/bkng",
"BOXL","Boxlight Corporation","3.54","35601978.24","n/a","2017","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/boxl",
"BFAM","Bright Horizons Family Solutions Inc.","119.43","6928363366.74","n/a","2013","Miscellaneous","Other Consumer Services","https://www.nasdaq.com/symbol/bfam",
"BR","Broadridge Financial Solutions, Inc.","135.14","15720182122.4","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/br",
"BSQR","BSQUARE Corporation","2.3","29240843","n/a","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/bsqr",
"CAE","CAE Inc","19.96","5346620190.28","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cae",
"CAJ","Canon, Inc.","32.09","34649276208.84","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/caj",
"CATM","Cardtronics plc","35.09","1617281572.61","n/a","2007","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/catm",
"CASS","Cass Information Systems, Inc","71.53","879420005.66","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/cass",
"CBAK","CBAK Energy Technology, Inc.","0.604","16095076.712","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cbak",
"CBZ","CBIZ, Inc.","23.9","1322223763","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/cbz",
"CDK","CDK Global, Inc.","62.32","8066760377.92","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/cdk",
"CCRC","China Customer Relations Centers, Inc.","9.76","178896896","n/a","2015","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ccrc",
"CREG","China Recycling Energy Corporation","1.23","10221543.54","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/creg",
"CMPR","Cimpress N.V","140","4323989880","n/a","n/a","Miscellaneous","Publishing","https://www.nasdaq.com/symbol/cmpr",
"CLCT","Collectors Universe, Inc.","14.93","134612507.99","n/a","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/clct",
"SCOR","comScore, Inc.","18.89","1093729224.34","n/a","2018","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/scor",
"CNDT","Conduent Incorporated","23.18","4895001637.28","n/a","2016","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/cndt",
"CSGP","CoStar Group, Inc.","442.16","16090681701.44","n/a","1998","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/csgp",
"CRAI","CRA International,Inc.","57.16","461839596.04","n/a","1998","Miscellaneous","Other Consumer Services","https://www.nasdaq.com/symbol/crai",
"CTRP","Ctrip.com International, Ltd.","39.15","18239676184.8","465892112","2003","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ctrp",
"CTEK","CynergisTek, Inc.","3.81","36637466.73","n/a","2017","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ctek",
"DHX","DHI Group, Inc.","2.15","115503488.95","n/a","2007","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/dhx",
"DBD","Diebold Nixdorf Incorporated","4.75","361445341","n/a","n/a","Miscellaneous","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/dbd",
"APPS","Digital Turbine, Inc.","1.4","107534592.2","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/apps",
"DLB","Dolby Laboratories","70.19","7275003916.81","n/a","2005","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/dlb",
"KODK","Eastman Kodak Company","3.25","138683376","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/kodk",
"EBAY","eBay Inc.","34.61","34248312036.71","n/a","1998","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ebay",
"EBAYL","eBay Inc.","26.21","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ebayl",
"ESIO","Electro Scientific Industries, Inc.","21.95","749326861.1","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/esio",
"EEX","Emerald Expositions Events, Inc.","15.62","1141074942.26","n/a","2017","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/eex",
"ENR","Energizer Holdings, Inc.","63.59","3800761136.87","n/a","2015","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/enr",
"ENV","Envestnet, Inc","63.2","2868269052.8","n/a","2010","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/env",
"ETSY","Etsy, Inc.","48.69","5830794652.77","n/a","2015","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/etsy",
"XELA","Exela Technologies, Inc.","5.98","903707891.58","n/a","2015","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/xela",
"EXLS","ExlService Holdings, Inc.","64.08","2198757751.92","n/a","2006","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/exls",
"EXPI","eXp World Holdings, Inc.","16.22","932244856.84","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/expi",
"FICO","Fair Isaac Corporation","230.98","6731758960.26","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/fico",
"FIS","Fidelity National Information Services, Inc.","108.17","35568532306.58","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/fis",
"FNJN","Finjan Holdings, Inc.","4.39","119601862.4","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/fnjn",
"FDC","First Data Corporation","25.72","24015536988.88","n/a","2015","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/fdc",
"FLT","FleetCor Technologies, Inc.","213.74","18892167608.3","n/a","2010","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/flt",
"FCEL","FuelCell Energy, Inc.","1.17","107967797.73","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/fcel",
"GPN","Global Payments Inc.","124.58","19706746724.66","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/gpn",
"GPRO","GoPro, Inc.","6.41","953751277.91","n/a","2014","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/gpro",
"GSHT","Gores Holdings II, Inc.","10.33","120920748.72","n/a","2017","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/gsht",
"GSHTU","Gores Holdings II, Inc.","10.92","0","n/a","2017","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/gshtu",
"GSHTW","Gores Holdings II, Inc.","1.91","0","n/a","2017","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/gshtw",
"GRVY","GRAVITY Co., Ltd.","17.3","56903229.2","3289204","2005","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/grvy",
"GSKY","GreenSky, Inc.","20.25","3779330481","n/a","2018","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/gsky",
"GRUB","GrubHub Inc.","144.11","13036465561.88","n/a","2014","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/grub",
"HQY","HealthEquity, Inc.","94.21","5845358087.87","n/a","2014","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/hqy",
