"AVHI","A V Homes, Inc.","21.45","479654410.95","n/a","n/a","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/avhi",
"AAON","AAON, Inc.","40.4","2111496506","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aaon",
"AIR","AAR Corp.","46.67","1621331201.1","n/a","n/a","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/air",
"AXDX","Accelerate Diagnostics, Inc.","24.6","1331548554","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/axdx",
"ACU","Acme United Corporation.","21.92","73959417.12","n/a","1988","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/acu",
"ADNT","Adient plc","43.29","4042065135.42","n/a","2016","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/adnt",
"ADOM","ADOMANI, Inc.","0.68","49302295.68","n/a","2017","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/adom",
"WMS","Advanced Drainage Systems, Inc.","31.35","1784730231.9","n/a","2014","Capital Goods","Containers/Packaging","https://www.nasdaq.com/symbol/wms",
"AEIS","Advanced Energy Industries, Inc.","59.58","2330386262.28","n/a","1995","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aeis",
"AEHR","Aehr Test Systems","2.53","55542936.9","n/a","1997","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/aehr",
"AJRD","Aerojet Rocketdyne Holdings, Inc. ","35.11","2654316000","n/a","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/ajrd",
"AVAV","AeroVironment, Inc.","87.96","2104814103.24","n/a","2007","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/avav",
"AEMD","Aethlon Medical, Inc.","0.9701","17266080.3848","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/aemd",
"AGCO","AGCO Corporation","59.66","4720223372.14","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/agco",
"UAVS","AgEagle Aerial Systems, Inc.","2.06","21195342.06","n/a","n/a","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/uavs",
"A","Agilent Technologies, Inc.","67.54","21545260000","n/a","1999","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/a",
"AIRI","Air Industries Group","1.41","37262907.54","n/a","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/airi",
"ALG","Alamo Group, Inc.","95.3","1117647332.2","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/alg",
"AMOT","Allied Motion Technologies, Inc.","48.84","462762809.52","n/a","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/amot",
